,Ancestry,Donor Category,Date,Mean
186,Caucasian,ID,03/10/2022,3.8461538461538463
322,Latino,Non-ID,03/14/2022,3.8
321,Latino,Non-ID,03/13/2022,3.8
323,Latino,Non-ID,03/15/2022,3.8
329,Latino,Non-ID,03/21/2022,3.8
325,Latino,Non-ID,03/17/2022,3.8
328,Latino,Non-ID,03/20/2022,3.8
320,Latino,Non-ID,03/12/2022,3.8
327,Latino,Non-ID,03/19/2022,3.8
326,Latino,Non-ID,03/18/2022,3.8
324,Latino,Non-ID,03/16/2022,3.8
188,Caucasian,ID,03/12/2022,3.769230769230769
177,Caucasian,ID,03/01/2022,3.72
187,Caucasian,ID,03/11/2022,3.7
180,Caucasian,ID,03/04/2022,3.6666666666666665
178,Caucasian,ID,03/02/2022,3.6666666666666665
181,Caucasian,ID,03/05/2022,3.6444444444444444
183,Caucasian,ID,03/07/2022,3.6222222222222222
179,Caucasian,ID,03/03/2022,3.5531914893617023
169,Black,Non-ID Graduate,03/15/2022,3.5
184,Caucasian,ID,03/08/2022,3.422222222222222
308,Latino,Non-ID,02/28/2022,3.3333333333333335
309,Latino,Non-ID,03/01/2022,3.3333333333333335
395,Multi,ID Graduate,03/21/2022,3.2
391,Multi,ID Graduate,03/17/2022,3.2
392,Multi,ID Graduate,03/18/2022,3.2
112,Black,ID Graduate,03/02/2022,3.0
120,Black,ID Graduate,03/10/2022,1.0
113,Black,ID Graduate,03/03/2022,1.0
115,Black,ID Graduate,03/05/2022,1.0
116,Black,ID Graduate,03/06/2022,1.0
121,Black,ID Graduate,03/11/2022,1.0
171,Black,Non-ID Graduate,03/17/2022,1.0
128,Black,ID Graduate,03/18/2022,1.0
175,Black,Non-ID Graduate,03/21/2022,1.0
174,Black,Non-ID Graduate,03/20/2022,1.0
173,Black,Non-ID Graduate,03/19/2022,1.0
172,Black,Non-ID Graduate,03/18/2022,1.0
170,Black,Non-ID Graduate,03/16/2022,1.0
117,Black,ID Graduate,03/07/2022,0.5
114,Black,ID Graduate,03/04/2022,0.5
119,Black,ID Graduate,03/09/2022,0.0
118,Black,ID Graduate,03/08/2022,0.0
122,Black,ID Graduate,03/12/2022,0.0
124,Black,ID Graduate,03/14/2022,0.0
127,Black,ID Graduate,03/17/2022,0.0
131,Black,ID Graduate,03/21/2022,0.0
123,Black,ID Graduate,03/13/2022,
125,Black,ID Graduate,03/15/2022,
126,Black,ID Graduate,03/16/2022,
129,Black,ID Graduate,03/19/2022,
130,Black,ID Graduate,03/20/2022,
